,commit,operationsSum,hunks,fileN,type
4475,c847d47cb7b2fa78b17c9e17ed3fbd010ee3d3ca,60.0,1.0,1.0,3.0
4478,e259f172adf25b40c7a0c9baeb71b783f3ef9036,2.0,1.0,1.0,3.0
4479,2d4054d8422462cb2771fdb4eb1925df55d2b320,10.0,1.0,1.0,3.0
4483,725398322d05486109375fbb85c3404108881e17,1.0,1.0,1.0,3.0
4485,068e35eee9ef98eb4cab55181977e24995d273be,6.0,1.0,1.0,3.0
4487,44d5759d3fdad660f000ef319f0ec33a6ac6ae28,9.0,1.0,1.0,3.0
4489,985b823b919273fe1327d56d2196b4f92e5d0fae,16.0,1.0,1.0,3.0
4491,d4c208b86b8be4254eba0e74071496e599f94639,3.0,1.0,1.0,3.0
4493,7b4f6ecacb14f384adc1a5a67ad95eb082c02bd1,7.0,1.0,1.0,3.0
4494,49c2fa08a77a7eefa4cbc73601f64984aceacfa7,1.0,1.0,1.0,3.0
4497,c66b9b7d365444b433307ebb18734757cb668a02,1.0,1.0,1.0,3.0
4499,1965f66e7db08d1ebccd24a59043eba826cc1ce8,9.0,1.0,1.0,3.0
4502,b0cfbd995d091b10841eeb948976f5d1fbf13cdd,3.0,1.0,1.0,3.0
4506,e198a31489146bb723fef179e5d1d18c8225f246,1.0,1.0,1.0,3.0
4507,ff79ae80837cf45cb703b34824dd3862d2ddcb24,3.0,1.0,1.0,3.0
4509,736a69ca8c99a595a523d2fece66491b89168da6,1.0,1.0,1.0,3.0
4510,8a1837cef7762413c29432b782607bd6c1898d4e,2.0,1.0,1.0,3.0
4513,6fad18fa51392c9847a4e3a95134b2e57155e563,9.0,1.0,1.0,3.0
4514,64a32307b710c100beb101e9c78f8022f0e8ba61,52.0,1.0,1.0,3.0
4516,eb45fa0b93e03b03848cd048dcc57648409c8125,1.0,1.0,1.0,3.0
4521,98070576c4f77509459c83cd2358617ef0769a38,49.0,1.0,1.0,3.0
4524,daed953721850381673687c59f3a0df553eb6626,4.0,1.0,1.0,3.0
4525,bee6dc39cfa4be083e8c11cee0867eb7dc56895b,17.0,1.0,1.0,3.0
4527,0047ca0a45c6a481abd467fb52d2a480ffc8c6b9,2.0,1.0,1.0,3.0
4528,ccda3a728f7098523998079e789b8135746bf8a8,5.0,1.0,1.0,3.0
4530,f5a5ffad072ec3c1fd636174c30f0ba52fe0259f,6.0,1.0,1.0,3.0
4534,d466a9190ff1ceddfee50686e61d63590fc820d9,2.0,1.0,1.0,3.0
4539,878a3c37d36142a192bdf5b6bfcf920832f431d7,8.0,1.0,1.0,3.0
4540,4310864b9d17714e64446bfb8bc7dbcb96454475,10.0,1.0,1.0,3.0
4541,bfc960a8eec023a170a80697fe65157cd4f44f81,8.0,1.0,1.0,3.0
4546,0368920e51ae0cded0eb518c340a4dd17764d461,3.0,1.0,1.0,3.0
4547,497fb54f578efd2b479727bc88d5ef942c0a1e2d,1.0,1.0,1.0,3.0
4551,d2682118f4bb3ceb835f91c1a694407a31bb7378,14.0,1.0,1.0,3.0
4553,4218091cb45f601b889cd032e39fe6878a426e70,2.0,1.0,1.0,3.0
4558,bebbeaca841b999f90742a5f391d449ff37a7204,1.0,1.0,1.0,3.0
4559,912335c43bb10d124471bf063a85e132aa814214,1.0,1.0,1.0,3.0
4563,9c3a6670863033df421c8e46f79f383cf3a922ee,13.0,1.0,1.0,3.0
4565,45e7798886af101c4a908a896bbba5a84ee5cc32,49.0,1.0,1.0,3.0
4567,9a3d0fe84f9fe296a86ea9315092d31986bc7a3a,6.0,1.0,1.0,3.0
4569,34273620d9227b61b82257e56d2d190abb9de2d8,2.0,1.0,1.0,3.0
4571,ae425bb2a05bebe786a25cc8ae64e9d16c4d9b83,3.0,1.0,1.0,3.0
4575,356268bde2efc8aa36364d3f3113a7cf92e079a8,1.0,1.0,1.0,3.0
4576,927321440976d0781a252eefe686ae6b0f236ae2,12.0,1.0,1.0,3.0
4580,ebf69cb8331d7336e4bcd442a2ca69bb61739a58,2.0,1.0,1.0,3.0
4583,7b37b5fd9ba32c0c5afc3537eed7e7466f2173e2,14.0,1.0,1.0,3.0
4593,4a1e1d055bfdfb5ae0a50a4685a250d85d3bbcbc,1.0,1.0,1.0,3.0
4594,69e50282b726bab75c8050c4836dc89b7eb7bf1a,1.0,1.0,1.0,3.0
4597,d7fbee050753e153622b5d41bc8bd1cb19cda9b9,17.0,1.0,1.0,3.0
4599,8f5f02c460b7ca74ce55ce126ce0c1e58a3f923d,1.0,1.0,1.0,3.0
4600,2f703e7a2ea5f6d5ea14a7b2cd0d31be07839ac6,15.0,1.0,1.0,3.0
4601,f5b4da21ba293220001b5fd36be75c859b18afc1,1.0,1.0,1.0,3.0
4603,408952d43b27a54437244c56c0e0d8efa5607926,1.0,1.0,1.0,3.0
4604,d7790baf62a0e9f034e4668bb4b5fdaaa248412b,5.0,1.0,1.0,3.0
4606,3c522cedb572bb8d2e4867f358bdaa7d0c53d88c,4.0,1.0,1.0,3.0
4607,6c0aca288e726405b01dacb12cac556454d34b2a,1.0,1.0,1.0,3.0
4609,bcb7ad7bcbef030e6ba71ede1f9866368aca7c99,1.0,1.0,1.0,3.0
4610,0c70b50150cfb0b43ff500a8a394a52b4d5f1350,4.0,1.0,1.0,3.0
4615,9334ef755f060e251f3f395caeda1a58b6834ea3,16.0,1.0,1.0,3.0
4617,058897a4e93a6fc6d331e2ef591b2d6571431265,1.0,1.0,1.0,3.0
4622,5d635ead203f4432eb287ac565eba057e5c4dfe6,1.0,1.0,1.0,3.0
4625,7fe04d6fa824ccea704535a597dc417c8687f990,1.0,1.0,1.0,3.0
4633,107ef97a170dec95893f34614edd92eb8cb9b5d0,7.0,1.0,1.0,3.0
4635,e5614f0c2d0f4d7f0b8ef745d34593baf2c5dbf8,3.0,1.0,1.0,3.0
4636,0e8d1602b223efcd4eaaa799314f5d7ad1742035,1.0,1.0,1.0,3.0
4637,6833d83891140aedab7841589b7c7dbd7b600235,3.0,1.0,1.0,3.0
4638,e5dd259f78ba0fd0c7bfc5c52179dbbff3eb48aa,1.0,1.0,1.0,3.0
4645,d010e5769a5ab2ae8d2bcb36e77b98172c24d80c,2.0,1.0,1.0,3.0
4650,92788ac1eb06e69a822de45e2a8a63fa45eb5be2,10.0,1.0,1.0,3.0
4652,c0f404284192f2d4a0159a714372a8c8610c1f6d,2.0,1.0,1.0,3.0
4654,01e3a8feb40e54b962a20fa7eb595c5efef5e109,1.0,1.0,1.0,3.0
4655,67c72a12254101d4e8d9b9f3a02646ba0be84a2d,1.0,1.0,1.0,3.0
4657,e733a2fb8cbcff0747108cb529ffb4e4a00465ac,2.0,1.0,1.0,3.0
4658,d942625c2d5f5d29cd3bb4fad8a4aadd59024317,1.0,1.0,1.0,3.0
4661,ed764e7ca042dbf4cc1c7f4e12cd842c7789f133,1.0,1.0,1.0,3.0
4662,ce9113bbcbf45a57c082d6603b9a9f342be3ef74,3.0,1.0,1.0,3.0
4664,c7bd4c25650704d4d065eb4ce2a122d2a80ce804,1.0,1.0,1.0,3.0
4669,373492d0bdc66680ee598fd5a63e1914631b2522,1.0,1.0,1.0,3.0
4671,c5d019c395f9f81887e6995951986c18e6411b93,39.0,1.0,1.0,3.0
4672,5d89945e6ec44494285cb8de85d4f43d4647b740,5.0,1.0,1.0,3.0
4674,e57b6886f555ab57f40a01713304e2053efe51ec,3.0,1.0,1.0,3.0
4676,2b83c4c49abc908ce2863df71067079a6ad8dd86,1.0,1.0,1.0,3.0
4681,64bc1239c790e051ff677e023435d770d2ffa174,1.0,1.0,1.0,3.0
4682,49686f71060e342bce6644a5c69fbc6ad0e75a13,1.0,1.0,1.0,3.0
4685,be321a890c25272965129ffe4b3b59a519fcf583,1.0,1.0,1.0,3.0
4692,20b67dddcc5f29d3d0c900225d85e0ac655bc69d,15.0,1.0,1.0,3.0
4697,a006482b67a96c16dfefc558e36863c51e1829bf,1.0,1.0,1.0,3.0
4700,b28a613e9138e4b3a64649bd60b13436f4b4b49b,16.0,1.0,1.0,3.0
4711,a1923f1d4723e5757cefdd60f7c7ab30e472007a,1.0,1.0,1.0,3.0
4712,2574cc9f4ffc6c681c9177111357efe5b76f0e36,1.0,1.0,1.0,3.0
4714,d2c962b8530b84f4e035df8ade7e35f353a57cbe,7.0,1.0,1.0,3.0
4723,42007efd569f1cf3bfb9a61da60ef6c2179508ca,3.0,1.0,1.0,3.0
4728,55051feb57eba600b366006757304a0af3ada2bd,4.0,1.0,1.0,3.0
4736,d62cf62ad07d5584da1f2132641928ded8216327,1.0,1.0,1.0,3.0
4743,8f7abfd82246a8d8b5bd1ad3056f3b46345b6b4a,1.0,1.0,1.0,3.0
4744,6e0032f0ae4440e75256bee11b163552cae21962,3.0,1.0,1.0,3.0
4745,5a81f14330ce70bc256b624593768fd1b4170d27,1.0,1.0,1.0,3.0
4746,7b80ece41aea0b73283c6df5a8f25d40aa13135d,3.0,1.0,1.0,3.0
