,Patch,Mention,Commit
2007-06,15.0,31.0,1.0
2007-08,13.0,16.0,1.0
2008-02,17.0,35.0,2.0
2008-04,27.0,33.0,2.0
2008-06,46.0,32.0,0.0
2008-07,29.0,25.0,1.0
2008-08,40.0,41.0,0.0
2008-09,27.0,25.0,0.0
2008-11,21.0,31.0,1.0
2008-12,25.0,14.0,0.0
2009-03,21.0,32.0,0.0
2009-06,18.0,33.0,0.0
2009-12,20.0,29.0,0.0
2010-01,39.0,23.0,0.0
2010-02,45.0,38.0,4.0
2010-03,142.0,41.0,6.0
2010-04,47.0,22.0,2.0
2010-05,47.0,18.0,6.0
2010-07,51.0,30.0,2.0
2010-08,19.0,9.0,1.0
2010-09,20.0,19.0,0.0
2010-10,13.0,19.0,2.0
2010-11,40.0,35.0,0.0
2010-12,30.0,30.0,0.0
2011-01,30.0,17.0,0.0
2011-02,18.0,28.0,0.0
2011-03,25.0,41.0,0.0
2011-07,122.0,24.0,4.0
2011-10,96.0,33.0,2.0
2011-12,76.0,25.0,2.0
2012-02,30.0,61.0,1.0
2012-03,43.0,32.0,3.0
2012-04,19.0,24.0,1.0
2012-06,35.0,19.0,1.0
2012-08,43.0,13.0,0.0
2012-10,107.0,44.0,4.0
2012-12,34.0,30.0,0.0
2013-02,64.0,18.0,1.0
2013-05,63.0,20.0,21.0
2013-06,86.0,30.0,1.0
2013-07,65.0,32.0,1.0
2013-09,49.0,74.0,3.0
2013-10,78.0,48.0,13.0
2013-11,48.0,30.0,2.0
2013-12,93.0,36.0,11.0
2014-01,71.0,35.0,8.0
2014-02,84.0,50.0,6.0
2014-03,126.0,58.0,5.0
2014-04,92.0,35.0,2.0
2014-05,145.0,63.0,2.0
2014-06,191.0,75.0,1.0
2014-07,264.0,105.0,2.0
2014-08,220.0,59.0,2.0
2014-09,100.0,77.0,18.0
2014-10,130.0,72.0,2.0
2014-11,145.0,65.0,2.0
2014-12,165.0,76.0,1.0
2015-01,211.0,89.0,4.0
2015-02,122.0,57.0,14.0
2015-03,191.0,69.0,26.0
2015-04,92.0,56.0,1.0
2015-05,144.0,83.0,2.0
2015-06,220.0,73.0,8.0
2015-07,136.0,83.0,4.0
2015-08,134.0,52.0,6.0
2015-09,204.0,41.0,6.0
2015-10,134.0,57.0,19.0
2015-11,76.0,43.0,17.0
2015-12,251.0,112.0,2.0
2016-01,270.0,96.0,5.0
2016-02,362.0,100.0,16.0
2016-03,320.0,144.0,6.0
2016-04,238.0,102.0,2.0
2016-05,258.0,88.0,1.0
