,Patch,Mention,Commit
2014-07,26.0,17.0,0.0
2014-08,7.0,0.0,0.0
2014-09,19.0,8.0,0.0
2014-10,20.0,7.0,0.0
2014-11,33.0,13.0,0.0
2014-12,1.0,0.0,0.0
2015-01,23.0,11.0,0.0
2015-02,17.0,6.0,0.0
2015-03,8.0,1.0,0.0
2015-04,10.0,12.0,0.0
2015-05,15.0,7.0,0.0
2015-06,10.0,8.0,0.0
2015-07,16.0,12.0,0.0
2015-08,25.0,9.0,0.0
2015-09,42.0,6.0,0.0
2015-10,15.0,9.0,0.0
2015-11,19.0,4.0,0.0
2015-12,35.0,2.0,0.0
2016-01,50.0,12.0,0.0
2016-02,84.0,20.0,1.0
2016-03,128.0,32.0,0.0
2016-04,86.0,2.0,0.0
2016-05,84.0,20.0,0.0
