,Patch,Mention,Commit
2005-09,46.0,30.0,3.0
2006-09,17.0,8.0,1.0
2006-10,22.0,11.0,3.0
2007-06,16.0,25.0,0.0
2007-08,8.0,21.0,1.0
2008-02,31.0,20.0,0.0
2008-04,58.0,41.0,3.0
2008-06,27.0,10.0,1.0
2008-07,31.0,14.0,0.0
2008-08,25.0,23.0,2.0
2008-09,27.0,14.0,1.0
2008-11,53.0,33.0,1.0
2008-12,86.0,31.0,1.0
2009-03,39.0,15.0,1.0
2009-06,25.0,1.0,1.0
2009-12,27.0,19.0,1.0
2010-01,54.0,26.0,1.0
2010-02,40.0,13.0,1.0
2010-03,35.0,18.0,0.0
2010-04,19.0,5.0,0.0
2010-05,12.0,11.0,0.0
2010-07,34.0,3.0,0.0
2010-08,24.0,2.0,0.0
2010-09,24.0,6.0,1.0
2010-10,16.0,6.0,0.0
2010-11,27.0,22.0,2.0
2010-12,23.0,2.0,4.0
2011-01,19.0,8.0,2.0
2011-02,30.0,14.0,1.0
2011-03,29.0,16.0,2.0
2011-07,12.0,5.0,0.0
2011-10,14.0,4.0,0.0
2011-12,20.0,10.0,0.0
2012-02,16.0,8.0,0.0
2012-03,14.0,21.0,0.0
2012-04,26.0,8.0,0.0
2012-06,32.0,11.0,0.0
2012-08,43.0,7.0,1.0
2012-10,39.0,12.0,0.0
2012-12,23.0,16.0,1.0
2013-02,44.0,33.0,8.0
2013-05,35.0,9.0,0.0
2013-06,23.0,19.0,0.0
2013-07,40.0,7.0,0.0
2013-09,54.0,14.0,1.0
2013-10,56.0,18.0,0.0
2013-11,47.0,11.0,0.0
2013-12,55.0,18.0,1.0
2014-01,48.0,4.0,0.0
2014-02,35.0,26.0,0.0
2014-03,43.0,10.0,0.0
2014-04,76.0,15.0,2.0
2014-05,45.0,27.0,0.0
2014-06,85.0,22.0,1.0
2014-07,77.0,30.0,1.0
2014-08,50.0,16.0,0.0
2014-09,67.0,19.0,2.0
2014-10,62.0,9.0,3.0
2014-11,64.0,11.0,0.0
2014-12,132.0,26.0,2.0
2015-01,99.0,18.0,0.0
2015-02,88.0,18.0,0.0
2015-03,70.0,29.0,1.0
2015-04,35.0,17.0,0.0
2015-05,52.0,32.0,0.0
2015-06,66.0,23.0,1.0
2015-07,31.0,14.0,0.0
2015-08,80.0,16.0,2.0
2015-09,50.0,27.0,1.0
2015-10,51.0,66.0,3.0
2015-11,40.0,21.0,0.0
2015-12,52.0,37.0,1.0
2016-01,40.0,32.0,0.0
2016-02,92.0,26.0,1.0
2016-03,62.0,24.0,0.0
2016-04,60.0,36.0,1.0
2016-05,76.0,38.0,0.0
