,commitment,type
0,133920,H
1,590503,H
2,319974,H
3,1903986,H
4,364305,H
5,152568,H
6,1888,H
7,90560,H
8,213744,H
9,1395031,H
10,1665000,H
11,6800472,H
12,1501100,H
13,6664,H
14,43911,H
15,308356,H
16,144606,H
17,5320,H
18,452,H
19,8740,H
20,33200,H
21,59898,H
22,1636194,H
23,842595,H
24,60697,H
25,22050,H
26,190820,H
27,16148,H
28,179465,H
29,15,H
30,37524,H
31,27360,H
32,75396,H
33,98518,H
34,13167,H
35,1136,H
36,18,H
37,4640,H
38,4042710,H
39,0,H
40,59202,H
41,2996,H
42,65860,H
43,232400,H
44,42504,H
45,381,H
46,793914,H
47,3263649,H
48,54774,H
49,54656,H
50,3124536,H
51,14427,H
52,47300,H
53,10948,H
54,8854,H
55,52030,H
56,37824,H
57,55550,H
58,730,H
59,363150,H
60,14431600,H
61,6456,H
62,2058736,H
63,387730,H
64,4021000,H
65,11770,H
66,778174,H
67,6069147,H
68,5430,H
69,15456,H
70,286104,H
71,1863540,H
72,36872,H
73,2186364,H
74,4,H
75,0,H
76,17220,H
77,2794,H
78,3327624,H
79,2296275,H
80,464094,H
81,54964,H
82,15704,H
83,11343015,H
84,981,H
85,21540,H
86,534,H
87,460,H
88,4379,H
89,108,H
90,8126,H
91,630720,H
92,395646,H
93,5880,H
94,8077,H
95,7144,H
96,69498,H
97,7478804,H
98,10920,H
99,76804,H
100,286286,H
101,252770,H
102,550715,H
103,2209116,H
104,1484126,H
105,668304,H
106,30624,H
107,99918,H
108,55,H
109,12412,H
110,418,H
111,26136,H
112,252010,H
113,904,H
114,720,H
115,18,H
116,0,H
117,1400680,H
118,347880,H
119,1363560,H
120,15660,H
121,1480,H
122,1819800,H
123,53376,H
124,708985,H
125,22457,H
126,1404,H
127,10904,H
128,3729052,H
129,25650,H
130,5415307,H
131,784,H
132,45792,H
133,6611346,H
134,615,H
135,86756,H
136,294,H
137,601088,H
138,248262,H
139,62304,H
140,22340,H
141,18480,H
142,2085288,H
143,7657,H
144,1503650,H
145,304,H
146,544307,H
147,320400,H
148,3526040,H
149,1313235,H
150,506220,H
151,48456,H
152,413712,H
153,1802,H
