,# of change operations,type
0,3,H
1,1,H
2,2,H
3,6,H
4,6,H
5,8,H
6,6,H
7,1,H
8,8,H
9,1,H
10,6,H
11,2,H
12,5,H
13,4,H
14,1,H
15,3,H
16,3,H
17,2,H
18,21,H
19,4,H
20,14,H
21,5,H
22,4,H
23,2,H
24,7,H
25,1,H
26,1,H
27,5,H
28,1,H
29,6,H
30,1,H
31,5,H
32,4,H
33,18,H
34,4,H
35,7,H
36,1,H
37,2,H
38,3,H
39,2,H
40,5,H
41,2,H
42,6,H
43,3,H
44,1,H
45,3,H
46,4,H
47,14,H
48,1,H
49,1,H
50,1,H
51,2,H
52,14,H
53,1,H
54,8,H
55,3,H
56,5,H
57,6,H
58,2,H
59,8,H
60,12,H
61,2,H
62,1,H
63,12,H
64,2,H
65,1,H
66,1,H
67,4,H
68,1,H
69,10,H
70,2,H
71,3,H
72,8,H
73,6,H
74,9,H
75,3,H
76,1,H
77,3,H
78,1,H
79,1,H
80,8,H
81,12,H
82,1,H
83,5,H
84,3,H
85,4,H
86,2,H
87,3,H
88,12,H
89,1,H
90,1,H
91,5,H
92,6,H
93,1,H
94,5,H
95,3,H
96,1,H
97,9,H
98,2,H
99,2,H
100,3,H
101,5,H
102,3,H
103,1,H
104,3,H
105,3,H
106,4,H
107,12,H
108,1,H
109,5,H
110,4,H
111,1,H
112,1,H
113,20,H
114,2,H
115,6,H
116,8,H
117,2,H
118,7,H
119,1,H
120,12,H
121,1,H
122,1,H
123,1,H
124,1,H
125,1,H
126,4,H
127,3,H
128,4,H
129,2,H
130,3,H
131,2,H
132,3,H
133,6,H
134,4,H
135,6,H
136,1,H
137,8,H
138,5,H
139,2,H
140,3,H
141,10,H
142,5,H
143,8,H
144,9,H
145,8,H
146,1,H
147,9,H
148,3,H
149,4,H
150,8,H
151,1,H
152,4,H
153,12,H
154,4,H
155,4,H
156,3,H
157,2,H
158,7,H
159,21,H
160,5,H
161,3,H
162,1,H
163,3,H
164,1,H
165,1,H
166,6,H
167,5,H
168,27,H
169,12,H
170,1,H
171,1,H
172,5,H
173,7,H
174,1,H
175,2,H
176,3,H
177,8,H
178,3,H
179,3,H
180,6,H
181,1,H
182,3,H
183,9,H
184,7,H
185,8,H
186,3,H
187,4,H
188,1,H
189,1,H
190,12,H
191,7,H
192,1,H
193,12,H
194,4,H
195,4,H
196,2,H
197,10,H
198,3,H
199,1,H
200,7,H
201,7,H
202,4,H
203,2,H
204,2,H
205,4,H
206,3,H
207,1,H
208,3,H
209,1,H
210,14,H
211,10,H
212,3,H
213,6,H
214,1,H
215,2,H
216,10,H
217,1,H
218,1,H
219,6,H
220,3,H
221,5,H
222,1,H
223,7,H
224,21,H
225,1,H
226,4,H
227,1,H
