,revertingDate,revertingCommit,revertedCommit,revertedDate,timeLag,type
1,1483569466,1d0f953086f090a022f2c0e1448300c15372db46,e9ba389c5ffc4dd29dfe17e00e48877302111135,1345026720,1603,HMG
56,1479295796,8e1b56a4b1deb3d25674c49255388902901f2c45,3143751ff51a163b77f7efd389043e038f3e008e,1269846736,2424,HMG
147,1474881644,26aa23396ed34343ba55cae985160856246dafbb,10b6ee4a87811a110cb01eaca01eb04da6801baf,1396548835,907,HMG
171,1474393851,52dc085a50c6b4b8143087ce194d0b193cb3662d,3ccc60f9d8c39180c205dba1a020735bda1b2491,1350646126,1432,HMG
199,1473758539,ea54ff4008892b46c7a3e6bc8ab8aaec9d198639,a05628195a0d9f3173dd9aa76f482aef692e46ee,1460359431,155,HMG
201,1473758539,c8ebfad7a063fe665417fa0eeb0da7cfe987d8ed,a05628195a0d9f3173dd9aa76f482aef692e46ee,1460359431,155,HMG
276,1467799545,196f954e250943df414efd3d632254c29be38e59,013dd9e038723bbd2aa67be51847384b75be8253,1452695720,175,HMG
277,1467799544,e10aec652f31ec61d6a0b4d00d8ef8d2b66fa0fd,013dd9e038723bbd2aa67be51847384b75be8253,1452695720,175,HMG
283,1470293567,df0e9a287da83f3fd17b47d5f0682f48c722aee7,e9f24d5fb7cf3628b195b18ff3ac4e37937ceeae,1444047996,304,HMG
330,1468246868,00c611def8748a0a1cf1d31842e49b42dfdb3de1,3d4b7ae96d81dc8ed4ecd556118b632c2707ff08,1458787388,109,HMG
373,1466410226,34511dce4b35685d3988d5c8b100d11a068db5bd,91df09d92ad82c8778ca218097bf827f154292ca,1466410226,0,HMG
389,1465949773,da4e792550a856e2f66aa8183d408553f7513a86,66b1ed5aa8dd253a734bf6ca4e5390385724f99c,1462424429,41,HMG
432,1463490471,aa420ddd8eeaa5df579894a412289e4d07c2fee9,acf4e84d6167317ff21be5c03e1ea76ea5783701,1460922166,30,HMG
433,1463490470,afee4d8707ab1f21b7668de995be3a5961e83582,acf4e84d6167317ff21be5c03e1ea76ea5783701,1460922166,30,HMG
449,1462844383,d65c8fff867a6450c58ce31572e883148a445ddf,9be321819c43417432a8376428b90fe3fe3a3510,1450307526,146,H
488,1461265067,94862a62dfe3ba1c7601115a2dc80721c5b256f0,0df35026c6a527e65b53bc895ad672d648a248f3,1450239629,127,HMG
492,1460721490,8bbb6568428fa14c5bef120d443c20e0e7d52699,afa5d19a2b5fbf0bbcce34f3613bce2bc9479bb7,1455812292,57,H
533,1457946117,9dbaab56ac09f07a73fe83bf69bec3e31060080a,579de73b048a0a4c66c25a033ac76a2836e0cf73,1457946117,0,HMG
